Date,AGO,ALB,ARE,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SDN,SEN,SLB,SLE,SLV,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2008,4856783.0,24383.0,,61912.0,142253.0,42365.0,,,12682.0,,,,145079.0,,49348.0,,1040961.0,17363566.0,,,,3066510.0,81610.0,5992.0,,347620379.0,10305695.0,,,,7248450.0,,,149807.0,92.0,8740.0,0.0,,16301.0,683796.0,,1426351.0,3216931.0,256760.0,7401.0,,4294.0,34289.0,6239.0,,,152586.0,833655.0,,,,,,40439.0,,,,1673017.0,,,9008.0,91272284.0,,9011.0,,,193.0,53925.0,504836.0,,8293.0,1262522.0,129333.0,,734644.0,,233274.0,,,,,,,57922.0,0.0,34544.0,,48688.0,,,11129456.0,,,,734.0,,,,18012567.0,616473.0,,,410799.0,,,,,28689.0,11451.0,,,,1648406728.0,,315116.0,4540167.0,,,122993.0,36730.0,444211.0,,,1241655.0,261755.0,,,,,,761371.0,,,,,27803.0,0.0,60764.0,,,,,,670489.0,,,,,,,2323512.0,,,,,59595.0,13547.0,3040177.0,,,14949531.0,,7115.0,,15601076.0,,
2009,,,,95481.0,,57442.0,,,12746.0,,10552980.0,,131393.0,,51340.0,,1005291.0,16220179.0,,,421688.0,,82162.0,2947.0,450469.0,,,,,,6649626.0,,,162390.0,1242.0,4832.0,0.0,,31253.0,613377.0,,1383633.0,,401038.0,10123.0,,2801.0,,69840.0,,,155023.0,806706.0,,,,,,70941.0,,,,1479261.0,43369.0,,11299.0,92119231.0,426836613.0,26195.0,3784075.0,,310.0,55346.0,642647.0,,,1095624.0,129077.0,,528984.0,,,,,,,1625055.0,,86114.0,238.0,55653.0,,42127.0,,46473.0,,,237424.0,10064251.0,1976.0,,,,,,,,,808424.0,,,787065.0,37717.0,4198.0,,,,1594062169.0,,236877.0,3951148.0,22122020.0,3946359.0,210255.0,18002.0,517728.0,22503.0,,1088709.0,229403.0,,4524854.0,,,,747358.0,,4148243.0,,,32823.0,327.0,49008.0,644324.0,,0.0,,,535168.0,1176542.0,,,3902.0,,,2145313.0,,,,20226027.0,147808.0,14501.0,3065832.0,,,,,,,,,
2010,,,,89654.0,76928.0,43458.0,,,15483.0,,,38230991.0,197151.0,,16325.0,,,,,,,,84617.0,5575.0,,275388500.0,,,,,5870599.0,,,100640.0,663.0,3789.0,0.0,,3178.0,544719.0,,1172134.0,1391284.0,349100.0,13948.0,34358197.0,3706.0,,58507.0,,,154626.0,894336.0,,,660977.0,1185823.0,,118630.0,,,,1636235.0,61786.0,,16688.0,83992295.0,,34148.0,,,475.0,35084.0,843726.0,,7644.0,882312.0,87902.0,,688865.0,,245739.0,,,,,,,61446.0,166.0,54459.0,,23905.0,14484568.0,,9554728.0,,249472.0,,1072.0,,,95689.0,,,,10879923.0,,,,65044079.0,,7882.0,7382.0,5884206.0,,,1469072458.0,53709044.0,277895.0,3257798.0,,,217141.0,23226.0,538347.0,24522.0,,1273780.0,274689.0,7388221.0,,,,,689385.0,,,34451.0,,32151.0,188.0,59901.0,,,,,,485965.0,,,,,,338400.0,2058100.0,954.0,55765.0,,,62130.0,9677.0,3861231.0,,,4562442.0,61257.0,,,15462233.0,9966852.0,
2011,,,,94761.0,,40013.0,,,20321.0,6973772.0,,,253431.0,8798.0,5174.0,,717664.0,13901441.0,,,,,77657.0,832.0,287367.0,211127652.0,,,,1842139.0,5086164.0,,,125565.0,368.0,7526.0,0.0,,0.0,530821.0,0.0,987634.0,,603089.0,15346.0,,2876.0,,23628.0,,,156443.0,812312.0,,,,,,163314.0,,,,1715295.0,42498.0,,17019.0,77860101.0,344469931.0,30835.0,1774928.0,,601.0,20921.0,759217.0,,,611026.0,39653.0,,518484.0,,,,3181.0,,,,,26958.0,715.0,34134.0,,13301.0,,,,,211814.0,,873.0,,,61050.0,,,,,107366.0,,11824314.0,,,23279.0,6365.0,,,,1359696098.0,53346964.0,224610.0,3030021.0,,,213012.0,65834.0,520021.0,14538.0,,1433912.0,139015.0,,,6959809.0,,3429799.0,614693.0,,,,,32700.0,0.0,62182.0,,,,5764959.0,4510424.0,209165.0,,,,,,,1481880.0,,,24253716.0,,32854.0,8169.0,3115202.0,,,,,,,,,4855877.0
2012,,52050.0,,75566.0,,56609.0,,,19112.0,,,,220075.0,,7671.0,,828300.0,12588620.0,,26158.0,,,85576.0,717.0,,179321213.0,,,58598438.0,,4976631.0,,,119527.0,49.0,8900.0,0.0,254981.0,0.0,546874.0,,938921.0,1174706.0,476654.0,13854.0,,2855.0,,40020.0,,,314835.0,700363.0,11383525.0,2321876.0,,,,236313.0,,,,2088874.0,45669.0,6555164.0,47204.0,67162878.0,,24743.0,1406812.0,188173.0,108.0,58982.0,849631.0,,,1911502.0,25281.0,,593799.0,,249471.0,1420049.0,,,,1328234.0,,31390.0,232.0,29271.0,,14913.0,16112754.0,,8517380.0,,175808.0,,786.0,,34810.0,30745.0,,,13485.0,,,,,66883309.0,,12707.0,6382.0,,1015.0,,1284484506.0,,279624.0,2815334.0,24981294.0,,162669.0,92782.0,379640.0,,,1678495.0,134123.0,,,,237966.0,,522397.0,514615.0,,,,27286.0,540.0,45193.0,,,,,,269296.0,,,,,,,1279614.0,,,,19537260.0,63208.0,8989.0,3138612.0,,,3331495.0,,,,,,
2013,,,0.0,89052.0,,28662.0,,8052215.0,16126.0,,,,233896.0,,2122.0,,721912.0,10675871.0,,,,,174172.0,3412.0,138032.0,84870415.0,,,,,4587194.0,,,124605.0,1149.0,4804.0,0.0,307749.0,17458.0,451149.0,,709778.0,,610098.0,14181.0,,4661.0,14226.0,54533.0,28270.0,,156793.0,553543.0,,,,,,167141.0,,,,1848388.0,51086.0,,45503.0,69506291.0,,34263.0,1534037.0,,286.0,38248.0,972937.0,,,1222808.0,13170.0,,778389.0,,,,,,,,,35527.0,484.0,30975.0,1249655.0,4221.0,,,,,141914.0,,126.0,,32160.0,,,,,,32791.0,,,,,15261.0,8376.0,,,,1129946645.0,45184523.0,226379.0,2569280.0,,,216213.0,109143.0,246049.0,,,1747437.0,84463.0,7370212.0,,,,,438398.0,561470.0,,,,23803.0,448.0,62486.0,,1418.0,,,,148501.0,,,,,,,1156201.0,,58177.0,,,24430.0,10247.0,3152896.0,,,,,8860.0,,,,
2014,,106207.0,,103602.0,117022.0,19166.0,,,8574.0,,10707522.0,,192459.0,,0.0,,607339.0,9475521.0,,,,,85806.0,2683.0,,65088151.0,,6403089.0,,,4186701.0,223106.0,,113798.0,1178.0,1087.0,0.0,,13732.0,425898.0,,636583.0,,440232.0,13039.0,,3743.0,,19351.0,,,159159.0,447651.0,,,,,,214333.0,,1248444.0,,1866549.0,48829.0,,96502.0,66430830.0,,20747.0,2696567.0,,0.0,60022.0,873934.0,,,946033.0,12465.0,,476050.0,,119581.0,,,1448935.0,,,,50408.0,892.0,22250.0,,142.0,,,8622699.0,,123568.0,,0.0,,24081.0,23130.0,19431937.0,450496.0,,,,,11587913.0,,398591.0,25150.0,5801.0,,,,1071332275.0,,248314.0,2407252.0,,,215244.0,80785.0,258986.0,,,1769097.0,78887.0,,3921138.0,,,,428531.0,633221.0,,,,48193.0,0.0,51032.0,,,,,,160669.0,,,519276.0,,,,785837.0,,,,,12130.0,7100.0,3987357.0,,,3129584.0,,,10065510.0,17643873.0,,
2015,,32116.0,,85703.0,,59169.0,,,15467.0,7477702.0,,,319931.0,,0.0,,683996.0,10797399.0,,,476456.0,,177065.0,2530.0,121776.0,41115964.0,11996723.0,,,,3794435.0,,74830.0,117567.0,552.0,924.0,0.0,,9970.0,340964.0,,776028.0,1203847.0,489473.0,8688.0,34745568.0,4081.0,,96618.0,,,162230.0,395008.0,,,383430.0,,,214429.0,,,,1841331.0,28909.0,,94943.0,56512257.0,,20115.0,2480827.0,,114.0,41385.0,1234880.0,,,512441.0,18977.0,17994903.0,663791.0,,,,,,11237.0,,,30442.0,1765.0,20434.0,,1558.0,,,,,133956.0,,375.0,9319001.0,22579.0,,,,,,16589.0,546845.0,,69050171.0,,11563.0,8823.0,,,,999974897.0,36987874.0,189467.0,2423835.0,19945071.0,,198916.0,75641.0,259370.0,,,1505936.0,127911.0,,,,,,327824.0,596715.0,,,,43275.0,100.0,63615.0,,,,,4710228.0,93030.0,1152246.0,,,4233.0,,75342.0,1042505.0,,,,,125030.0,7288.0,4020076.0,,,,,,,,11133807.0,
2016,,32805.0,,75286.0,120650.0,58017.0,,,6778.0,,,31376284.0,211455.0,,0.0,,801889.0,13165912.0,4690.0,,,,180486.0,3761.0,,30507008.0,,,,,3785811.0,,,116949.0,943.0,0.0,0.0,,15946.0,312675.0,,820316.0,,603574.0,7700.0,,2596.0,,43176.0,,,163475.0,390318.0,11647424.0,,,,,150002.0,,,,1867608.0,35203.0,,153548.0,47755897.0,,16204.0,2498824.0,,0.0,41289.0,1068786.0,,,933809.0,31101.0,,492341.0,,126657.0,,,1595931.0,,808628.0,,42560.0,682.0,18836.0,,4622.0,,387.0,5424162.0,,108444.0,,516.0,,20748.0,59873.0,,,,12687615.0,,,,,,9825.0,14692.0,,,,948450800.0,,193316.0,2305520.0,,,137093.0,42341.0,260540.0,61070.0,,1028924.0,92756.0,7748723.0,,,,,358087.0,571227.0,8066919.0,,,83841.0,0.0,41936.0,512544.0,,,,,97672.0,,,,,,,710398.0,,0.0,,23734551.0,113620.0,4237.0,4047715.0,,,2356878.0,,,,,,
2017,,41505.0,,70388.0,,30768.0,,,19902.0,,,,136285.0,,2603.0,,727447.0,14204298.0,,19720.0,,,181769.0,1845.0,89596.0,23249834.0,,,,,3516591.0,,,85926.0,643.0,0.0,202061.0,267517.0,8218.0,162163.0,,717223.0,3274063.0,388097.0,6837.0,,4200.0,,12369.0,,82188.0,164451.0,412517.0,,,,,,115262.0,,,,1853143.0,24917.0,,89287.0,39451657.0,,14678.0,2274640.0,,0.0,63068.0,924740.0,,,797752.0,21538.0,,516756.0,,123437.0,,,,,,904486.0,33179.0,1736.0,19085.0,,1687.0,,,,,107079.0,,770.0,5327653.0,29087.0,,,,6833.0,,,,,,,35306.0,15390.0,,,272515.0,902684052.0,,175284.0,2291103.0,,,160703.0,45407.0,150548.0,,0.0,958919.0,147000.0,,,,,,282694.0,466607.0,,26919.0,,31339.0,0.0,26703.0,,,,,,71236.0,,,,,,,903804.0,,0.0,,,37850.0,3983.0,4082356.0,,,,,,,,,6614791.0
2018,12370168.0,28951.0,0.0,86001.0,124091.0,50246.0,,,10256.0,4667533.0,9870037.0,,100304.0,,2078.0,3953.0,540417.0,14190323.0,,,,,92671.0,3002.0,,11156298.0,6329528.0,,,,3617138.0,,,115057.0,993.0,942.0,0.0,,13124.0,118735.0,,800108.0,,457225.0,5513.0,,4250.0,,14216.0,,,330439.0,409589.0,,1499361.0,,720291.0,,17159.0,889.0,,,1938028.0,20101.0,,,33649751.0,,4835.0,2720112.0,,946.0,63666.0,1023513.0,11982.0,,1246105.0,11574.0,,380748.0,,128327.0,1123223.0,,,,,,27662.0,1848.0,10776.0,,494.0,,,4850951.0,,80851.0,6111273.0,771.0,,24485.0,54255.0,,,,,9997.0,,13349272.0,71240545.0,,19323.0,14969.0,,,372180.0,860266180.0,37799718.0,156149.0,1937858.0,14679164.0,,116208.0,39324.0,197508.0,,,727986.0,138465.0,,,3089557.0,,3134026.0,252966.0,290058.0,,,,27682.0,0.0,87343.0,,652.0,,6874018.0,2931801.0,75970.0,,,,,,,810846.0,,0.0,29418882.0,,106736.0,3063.0,3284612.0,,,2159154.0,,,,,,
2019,,7774.0,,71924.0,,57422.0,,,12276.0,,,,107924.0,,0.0,,366317.0,14564015.0,,,,,93534.0,1491.0,,0.0,,,,,4386447.0,,,86484.0,2248.0,0.0,207383.0,,15653.0,109919.0,,805950.0,2150093.0,421333.0,9556.0,,2269.0,42571.0,34667.0,,,331848.0,360956.0,,,,,,104288.0,,,,1867318.0,14381.0,,,29563793.0,,2804.0,3732652.0,,288.0,90328.0,618204.0,,,1546752.0,15305.0,,324220.0,7637.0,127650.0,,,,,589870.0,,16962.0,627.0,6459.0,,763.0,,0.0,,911.0,73931.0,,1535.0,,15627.0,,25070486.0,464788.0,,14471520.0,,,,,,16604.0,10184.0,,,202410.0,839789054.0,,123473.0,1758509.0,,,38900.0,19021.0,159221.0,,,599060.0,111058.0,,,,,,185676.0,189207.0,,,,12631.0,0.0,37014.0,,,,,,96293.0,,,,,,,1054772.0,,0.0,,26264740.0,80958.0,4475.0,3299523.0,,,,57206.0,,,,,7516551.0
2020,,9675.0,,44914.0,253724.0,65861.0,,9400518.0,9900.0,,,,46211.0,,0.0,,501829.0,5780696.0,,,,,94634.0,6092.0,333569.0,0.0,,,81896433.0,,6827950.0,,,168739.0,288.0,871.0,202743.0,,9621.0,143399.0,,1480649.0,,519459.0,5505.0,,1664.0,,77671.0,,,333275.0,445845.0,,,554570.0,,,117292.0,,,,,17376.0,,,27063139.0,,9199.0,4080246.0,,,68783.0,520935.0,,,1531691.0,7295.0,23198970.0,631273.0,,0.0,,,,,,,13288.0,0.0,9732.0,,424.0,,,5396612.0,,,,2030.0,,14056.0,,,,,,,,,,,7116.0,15867.0,,,300402.0,895363587.0,,,3385052.0,,,70930.0,65570.0,168734.0,,,468002.0,60539.0,,,,,,,140507.0,,,,16105.0,0.0,46720.0,,,,,,45165.0,,,,,,,951497.0,,0.0,,,15087.0,9402.0,1656623.0,,,1277730.0,,,,,,
2021,,,,62744.0,,43509.0,,,4237.0,3722252.0,9396353.0,,79916.0,,,,364648.0,15642293.0,,,,3661150.0,95562.0,3320.0,,0.0,6313881.0,7312527.0,,,5747599.0,,,109277.0,650.0,6288.0,,,9001.0,141430.0,,932914.0,1541883.0,312081.0,4647.0,47189607.0,1183.0,,47874.0,,,333789.0,400160.0,,,,834635.0,,74135.0,,,,,13220.0,,,23702763.0,,6702.0,3289651.0,,,67544.0,513053.0,39357.0,,,7932.0,24720223.0,386990.0,,128784.0,,,,,,,8945.0,527.0,9246.0,,4274.0,20925218.0,,,,,8223746.0,631.0,,15588.0,,,,,,4510.0,,15066246.0,,,17053.0,9207.0,,,446177.0,890324942.0,,143420.0,1720739.0,17752037.0,,42268.0,33928.0,124292.0,,,387983.0,,,,3135018.0,,,320978.0,115932.0,,,,18740.0,0.0,67023.0,,,,,3101591.0,20515.0,903714.0,,,431.0,,78910.0,795167.0,,0.0,,,,5242.0,1648178.0,1497690.0,,,,,,,,
2022,,,,56322.0,,58227.0,,,2389.0,,,10009088.0,68075.0,,,,394575.0,10208834.0,,104.0,,,,18317.0,101644.0,0.0,,,,,4794142.0,,,81245.0,67.0,0.0,,,14432.0,107308.0,,792258.0,,375230.0,6721.0,,5888.0,,37338.0,,,,287098.0,,,,,160968.0,65122.0,,,,,15335.0,,,21898331.0,75243301.0,10470.0,2518427.0,,,,404192.0,,,,,25774407.0,317324.0,,,,339956.0,,,,,22703.0,682.0,7971.0,,1000.0,,,2997195.0,,,,584.0,,,15102.0,26633289.0,,,,,,,94725734.0,,,16080.0,723708.0,,176435.0,863186353.0,,,1620487.0,,,119271.0,23451.0,218516.0,,,276738.0,,,,,,,327003.0,135893.0,,,13573.0,37786.0,0.0,133341.0,,,3699589.0,7285305.0,,14540.0,901415.0,,,,,,450036.0,,,,,,8146.0,4172496.0,1534847.0,,1598239.0,,,,,14440819.0,
2023,,,,57152.0,,48236.0,,,10243.0,,,,65175.0,,,,344978.0,8056262.0,,,,,,,,,,,,,4021904.0,,,78602.0,177.0,0.0,,,21363.0,144202.0,,841601.0,,393266.0,4343.0,,10892.0,,47612.0,,,,216490.0,,,,,,61839.0,,1751031.0,,1811889.0,10142.0,,,18885194.0,,4368.0,2259202.0,247651.0,,,547003.0,,,,,,194783.0,,,,,,,,,31528.0,567.0,8338.0,,3176.0,,,,,,,,,,,,,,,,,,,,,10877.0,,,,848499751.0,,166417.0,1989695.0,13248946.0,,89564.0,43716.0,163776.0,107103.0,,133445.0,,5469191.0,,,,,292567.0,,,,,24536.0,0.0,88292.0,,,,,,3472.0,757549.0,,,,,,,,,,,,5739.0,4209183.0,1449721.0,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65853.0,,,,,,88601.0,,1326295.0,,,,,,,,,,,155377.0,,,,,,,,,,1701516.0,,,,15416395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839224675.0,,141149.0,1758990.0,,,,,145882.0,,,,,,,,,,,,,,,,,,,,,,,,649599.0,,,,,,,,,,,,5661.0,,988423.0,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830922275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
