Date,AFG,AGO,ALB,ARE,ARG,ARM,ASM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DOM,DZA,ECU,EGY,ERI,ESP,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_GFR,OWID_SRM,OWID_USS,OWID_WRL,OWID_YAR,OWID_YGS,OWID_YPR,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,37.0,,,,12.0,,,,61.0,0.0,34.0,,,,,,0.0,101.0,,,,,,,,1216.0,,,,,,,,,0.0,,,,,12.0,26.0,,,,,9.0,,,,,,,,,,,,,,,,,,0.0,,,,,42.0,1656.0,,,,,,329.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8.0,0.0,,,,,,0.0,,,,46.0,4.0,,,,,0.0,4376.0,,,,,,,79.0,,,500.0,,,,,,,,,,32.0,,0.0,,,,,,,,,,,11.0,,,,0.0,,18.0,,,,,,,,,,,,12.0,,,38.0,93.0,,,,,,
1986,,,,,3.0,,,8.0,,,,,,,30.0,,,,,,29.0,28.0,,,,,0.0,,23.0,313.0,,,,,13.0,,,,0.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,0.0,,148.0,,175.0,251.0,,265.0,,,,2.0,54.0,,14.0,,,,,,,,,,,,,,43.0,,,,,,,0.0,,20.0,,,,,,,,,,,11.0,,,,,,,22.0,1.0,,,,,,1782.0,,0.0,,,2.0,62.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,23.0,,,0.0,,,0.0,13.0,,0.0,,165.0,,,,,,
1987,,,,,0.0,,,,,,,,,,2280.0,,,,,,25.0,107.0,,,,,1.0,0.0,127.0,219.0,,,,,21.0,,,,,,,,,,,0.0,,,5.0,,,,23.0,,,,,,,,,,,,84.0,,,0.0,,,33.0,,201.0,1314.0,0.0,865.0,,,,0.0,9.0,9.0,,,,,,,0.0,50.0,,,0.0,,,,,18.0,,,,,,,0.0,16.0,,,,,,,,,,,3.0,,,,,,,188.0,0.0,,0.0,,,110.0,6766.0,,,,,,173.0,,,0.0,,315.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,0.0,40.0,,,,,506.0,,
1988,0.0,,,,25.0,,,16.0,,,,,0.0,16.0,2440.0,,0.0,,,,,655.0,,,8.0,,2.0,,,1243.0,,2.0,,,120.0,,,7.0,23.0,,,,,0.0,,,,,,45.0,,,10.0,,0.0,,,,,0.0,,,,,0.0,,,,19.0,,27.0,,179.0,2100.0,,90.0,,0.0,,,0.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,27.0,,20.0,130.0,,,,27.0,1.0,,,6.0,,0.0,8504.0,,,,196.0,,38.0,,,,,,,0.0,,,,,,48.0,,96.0,0.0,,,33.0,,,,,,,,,,,,43.0,,664.0,,,,,,13.0,,0.0,,,,0.0,,,66.0,,,,,25.0,,
1989,,0.0,,,,,,9.0,,,12.0,,,,180.0,,,,,,,137.0,,,,,,,21.0,2000.0,0.0,,,,16.0,,,,,,,,10.0,,,35.0,,,12.0,,,10.0,,,,,,7.0,,,,,,,10.0,,0.0,3.0,,,0.0,,18.0,1609.0,,0.0,,,,,,,10.0,,,,,,,,,,,,,,325.0,,,,,,,,,40.0,,,1.0,,,,2.0,,,13.0,,,,,,,,,0.0,,,,,17.0,4716.0,38.0,,25.0,20.0,,38.0,44.0,,,,,,,,,,,,,,,,,,10.0,34.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,0.0,
1990,,,,,21.0,,,7.0,,,,,,,231.0,,,,,0.0,,24.0,,,,,8.0,,0.0,495.0,,,23.0,,10.0,,,,4.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,5.0,,,,191.0,224.0,,0.0,,,,,,,27.0,,44.0,,,,,127.0,,,,,,,33.0,22.0,,,,,,,,45.0,,,,,,,,,,,,,,,4.0,,,30.0,,,,,,19.0,2246.0,,0.0,,,,61.0,176.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,69.0,,189.0,,,,38.0,,,,82.0,,,,,,
1991,1193.0,,,,,,,5.0,5.0,,,,3.0,,265.0,,,,,,,20.0,,,,,,,,1861.0,,2.0,,,,,,1.0,,,,,,10.0,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,112.0,1016.0,,56.0,,,,,15.0,8.0,,,,,100.0,,,54.0,,0.0,,,,,27.0,,,,,,,,,23.0,,,,23.0,,,,,,472.0,,,,,,,,51.0,0.0,,,5.0,,2.0,5850.0,,,,24.0,12.0,,70.0,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,39.0,,17.0,,,,,,42.0,,,,,0.0,8.0,,,,195.0,,,0.0,,,
1992,600.0,,11.0,,45.0,,,,,,,,,,17.0,,,,,,4.0,107.0,,,,,,,,540.0,,,,,,,,,0.0,,,0.0,,,21.0,22.0,,,,,,,3.0,,,,,,,,,,,,,,,5.0,,,,,57.0,746.0,,63.0,,,,2.0,,,,,,,,,,5.0,,10.0,,,,,15.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,0.0,,,,,,,1.0,,5236.0,,,,1446.0,,0.0,79.0,0.0,,18.0,,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,1346.0,,,,,,,,,,0.0,7.0,,3.0,,56.0,,,,,,
1993,,,,,0.0,,,1.0,,,,0.0,,,194.0,,,,0.0,,,,,,,,0.0,,109.0,1231.0,,,,,63.0,,,9.0,46.0,,,5.0,0.0,30.0,22.0,,,,,2.0,,,4.0,,,4.0,,,0.0,,,,,,,,,,413.0,,13.0,,131.0,1297.0,3.0,781.0,,,,,9.0,,0.0,10.0,,,,,,,,,,,,,8.0,,,0.0,,,,,,65.0,,,,,,,,,,,30.0,,,,,1.0,,1048.0,,,,,,,6150.0,,,,15.0,,80.0,53.0,0.0,,,,,,,,,,138.0,,,21.0,0.0,,,,,,,,,,,,,,,,,41.0,,0.0,,5.0,,,,54.0,,9.0,,98.0,,,,64.0,,,31.0,12.0,,
1994,,,,,,,,,,,,0.0,0.0,22.0,116.0,,,,,,,,,22.0,,,,,,1564.0,,6.0,39.0,0.0,37.0,,,2.0,12.0,,,2.0,145.0,,40.0,,600.0,,10.0,4.0,,,13.0,,,7.0,,,,,,,14.0,,10.0,,,1.0,151.0,,,,59.0,2015.0,,39.0,,,,68.0,,,,,,,506.0,,,,,0.0,,,,,0.0,,,,,,47.0,,,,,,,,,5.0,,,,,,,60.0,30.0,,,,,0.0,,,,,,6771.0,,,,316.0,,85.0,62.0,,,,,,,,,,2.0,46.0,,,8.0,0.0,,,,100.0,,,,,,,,,,,,0.0,102.0,0.0,,,,,,,31.0,,,,37.0,,,26.0,310.0,,,,0.0,,
1995,27.0,,4.0,,0.0,,,,2.0,5.0,,,20.0,,741.0,,,,,0.0,,110.0,,,20.0,0.0,0.0,,28.0,1618.0,,,,,69.0,,,,0.0,,,,,,,,7.0,,,27.0,,,,,,,1.0,145.0,,,,,,,31.0,,,,14.0,,,,134.0,1514.0,,27.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,3.0,,,,,791.0,,,,,,0.0,,51.0,,,,0.0,,1.0,,,,,,,1.0,140.0,,,,,,,7894.0,,,,1063.0,1.0,,476.0,,,,68.0,,0.0,,,,0.0,,,,,,,,8.0,20.0,,,,,,,,,,,2.0,3.0,231.0,,,,,,63.0,,3.0,,0.0,,11.0,,,,253.0,,,,161.0,,
1996,70.0,,,,,,,5.0,0.0,,,,11.0,,55.0,,,,0.0,,,15.0,,,,7.0,10.0,,,4091.0,28.0,,,,12.0,,,6.0,3.0,,1.0,,,3.0,4.0,,12.0,,1.0,40.0,,,4.0,,,,,,,,0.0,,,,,0.0,0.0,,7.0,,18.0,0.0,93.0,1291.0,,49.0,,,,17.0,,,,,0.0,,59.0,,,85.0,,30.0,,,,,0.0,,,,,25.0,,,,0.0,,,,,,41.0,,,,,0.0,,,,,,,788.0,,,,,,,8090.0,,,,111.0,,,0.0,,,,116.0,10.0,,,,,2.0,4.0,,,152.0,,,12.0,,3.0,,,,,,,,,,,,,91.0,0.0,,,0.0,,,,,,0.0,,61.0,,,0.0,222.0,,,345.0,80.0,,
1997,70.0,,0.0,,0.0,4.0,,0.0,3.0,11.0,,,0.0,,79.0,0.0,,,,,56.0,90.0,,,,,4.0,0.0,22.0,1090.0,,,0.0,,2.0,,,,0.0,,29.0,0.0,,,4.0,137.0,4.0,,5.0,326.0,,,,,,1.0,7.0,,,,,,9.0,,,,,80.0,,,,0.0,,2357.0,,13.0,,,15.0,,,2.0,,,86.0,,,,,15.0,2.0,,,,,,10.0,,,,,60.0,9.0,,,,,,,68.0,,,35.0,,,0.0,,,,,,,,,0.0,,,,,,7588.0,,,,171.0,,,18.0,,55.0,,0.0,,0.0,,,,20.0,2.0,,,8.0,,,,,2311.0,,,,,0.0,,,,5.0,,,,14.0,,,,,,,10.0,83.0,100.0,0.0,,83.0,,,3.0,,,,,0.0,,
